Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,fpl_base.Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,Own%,Date,KO time,Season start price,Season end price
Fabianski,90,0,0,0,1,0,0,0,0,0,4,0,17,15,3,SWA,2 - 1,MUN,Away,1,GKP,31,Very difficult,448,17,2014/08/16,12:45:00,5,5.3
Williams,90,0,0,0,1,0,0,0,0,0,0,0,13,20,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,449,0.03,2014/08/16,12:45:00,5,5.4
Taylor,52,0,0,0,1,0,0,0,1,0,0,0,10,0,0,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,450,6,2014/08/16,12:45:00,4.5,4.8
Rangel,90,0,0,0,1,0,0,0,0,0,0,0,13,16,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,452,6,2014/08/16,12:45:00,5,4.9
Tiendalli,38,0,0,0,0,0,0,0,0,0,0,0,5,7,1,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,456,1,2014/08/16,12:45:00,4.5,4.3
Amat,90,0,0,0,1,0,0,0,0,0,0,0,17,14,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,457,3,2014/08/16,12:45:00,4.5,4.1
Sigurdsson,90,1,1,0,1,0,0,0,0,0,0,3,48,38,13,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,381,195,2014/08/16,12:45:00,6,6.5
Routledge,90,0,1,0,1,0,0,0,0,0,0,0,20,13,5,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,460,0.01,2014/08/16,12:45:00,5.5,5.4
Dyer,66,0,0,0,1,0,0,0,1,0,0,0,11,4,1,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,461,5,2014/08/16,12:45:00,5.5,5.2
Shelvey,90,0,0,0,1,0,0,0,1,0,0,0,13,11,1,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,465,85,2014/08/16,12:45:00,5.5,5.2
Ki Sung-Yueng,90,1,0,0,1,0,0,0,1,0,0,2,32,31,8,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,471,27,2014/08/16,12:45:00,5,5.1
